"Gene","mean_Control","mean_GHR-KO","sd_Control","sd_GHR-KO","Cohens.d_genotype","mean_Female","mean_Male","sd_Female","sd_Male","Cohens.d_sex","anova_p_val_genotype","anova_p_val_sex","anova_p_val_genotype:sex","adjusted_p_val_genotype","adjusted_p_val_sex","adjusted_p_val_genotype:sex","4721","4945","4715","4718","4524","4722","4716","4717","THSD_pair"
"ACTR1A",29.8744535425,29.93408394,0.104154899807297,0.0871364001310236,0.620998459289028,29.8298840525,29.97865343,0.0570127429754995,0.0529733920906087,2.70341618580591,0.183960691174111,0.0161035802548103,0.974877450443932,0.581633128698739,0.21318870042318,0.992744550898442,29.83802414,29.88261986,30.00463867,30.01105309,29.74919128,29.84970093,29.99940681,29.89951515,NA
"ACTR1B",26.849720955,27.232215405,0.213876128332007,0.0692092106600558,2.40631771455406,27.1209459325,26.9609904275,0.154571506299858,0.327288949326639,-0.624973051696881,0.0115961992369221,0.138884063637827,0.177183778369157,0.181019756529216,0.528138242217831,0.574617750861093,27.22011185,27.26239586,27.14209366,27.30426025,27.08090973,26.92036629,26.82771873,26.56988907,NA
"ACTR2",28.6372103675,28.80421448,0.113425749168531,0.0852785728332777,1.66431592437416,28.7512006775,28.69022417,0.122329987477635,0.145904200782528,-0.452905500342104,0.109299290881107,0.495151577564629,0.955393520354334,0.481985218810296,0.800963278838292,0.988221530803018,28.83930016,28.82526398,28.87249947,28.67979431,28.76629257,28.573946,28.69308662,28.51551628,NA
"ACTR3",29.7427630425,29.94715309,0.183123725774897,0.0518944663876678,1.51864600274573,29.9058041575,29.784111975,0.146771459731195,0.180729104874323,-0.739194150227555,0.0793010132170927,0.235837348847211,0.337442443557445,0.420090722274547,0.631180075418661,0.706591337355235,29.91227913,30.00865173,29.97076225,29.89691925,30.00611115,29.69617462,29.6872406,29.5815258,NA
"ACY1",28.9258918775,29.1265764225,0.100129247549927,0.0957912755033997,2.04813020711999,29.0097870825,29.0426812175,0.127609812804609,0.170428123685893,0.218494526759595,0.0605534439499047,0.692795678431967,0.473605939976811,0.380999485266412,0.898433404887146,0.784027897812418,29.08982468,29.06925201,29.26970291,29.07752609,28.81924629,29.06082535,28.91871834,28.90477753,NA
"ACYP1",28.6612477325,28.5051898975,0.113688156046587,0.185380895711541,-1.01487134425919,28.49519396,28.67124367,0.156117191468796,0.135986007235489,1.20254144948493,0.186978552253285,0.147262822737221,0.720217137455634,0.584672979676349,0.537853179254474,0.909520596070164,28.52518463,28.27141953,28.72432709,28.49982834,28.551054,28.63311768,28.82061577,28.64020348,NA
"ACYP2",24.406113625,24.44283104,0.110601952575973,0.471505842170752,0.107218287691223,24.33573246,24.513212205,0.318434176106387,0.336228541900038,0.542001904085026,0.894322220252916,0.531591218873434,0.433452522225466,0.970764298292219,0.818452421322137,0.761137437979748,24.59860992,23.88383484,24.29165268,24.99722672,24.51092911,24.34955597,24.27866745,24.48530197,NA
"ADAM10",27.78824854,27.59054804,0.193667297816163,0.0489661136761539,-1.39962189143775,27.767263415,27.611533165,0.164342168006509,0.150948354204363,-0.986962256591793,0.0850597169166252,0.147318450876058,0.44294487481527,0.433718050473606,0.537853179254474,0.767034305378968,27.61764908,27.64533234,27.55683899,27.54237175,27.84427834,27.9617939,27.83611298,27.51080894,NA
"ADAR",26.639945985,26.6219711325,0.0901803436237109,0.19360375674195,-0.119021913126191,26.6219878225,26.639929295,0.197508823535908,0.0812771362936742,0.118799844013226,0.896772677327079,0.896962862681045,0.882783382286838,0.971059214520929,0.971118415806178,0.968071824134918,26.83508873,26.37047768,26.60215378,26.68016434,26.70292664,26.57945824,26.54713249,26.73026657,NA
"ADD1",28.36150074,28.669092655,0.0861747130819138,0.100288050073591,3.2898213878329,28.52588606,28.504707335,0.126310409763862,0.253585527455255,-0.105722006110438,0.00357893925890432,0.694460800085765,0.0667247584583981,0.114829925750251,0.899050703851034,0.39194207235282,28.70097733,28.53300476,28.77222061,28.67016792,28.45144081,28.41812134,28.27719498,28.29924583,NA
